V ;num_sommet ;nom_sommet ;numéro_ligne ;si_terminus ;branchement
V ;0219 ;Oberkampf ;5 ;False ;0
V ;0220 ;Oberkampf ;9 ;False ;0
V ;0221 ;Odéon ;10 ;False ;0
V ;0222 ;Odéon ;4 ;False ;0
V ;0223 ;Opéra ;3 ;False ;0
V ;0224 ;Opéra ;7 ;False ;0
V ;0225 ;Opéra ;8 ;False ;0
V ;0226 ;Ourcq ;5 ;False ;0
V ;0227 ;Palais Royal, Musée du Louvre ;1 ;False ;0
V ;0228 ;Palais Royal, Musée du Louvre ;7 ;False ;0
V ;0229 ;Parmentier ;3 ;False ;0
V ;0230 ;Passy ;6 ;False ;0
V ;0231 ;Pasteur ;12 ;False ;0
V ;0232 ;Pasteur ;6 ;False ;0
V ;0233 ;Pelleport ;3bis ;False ;0
V ;0234 ;Pernety ;13 ;False ;0
V ;0235 ;Philippe-Auguste ;2 ;False ;0
V ;0236 ;Picpus ;6 ;False ;0
V ;0237 ;Pierre Curie ;7 ;False ;1
V ;0238 ;Pigalle ;12 ;False ;0
V ;0239 ;Pigalle ;2 ;False ;0
V ;0240 ;Place Balard ;8 ;True ;0
V ;0241 ;Place Monge ;7 ;False ;0
V ;0242 ;Place d'Italie ;5 ;True ;0
V ;0243 ;Place d'Italie ;6 ;False ;0
V ;0244 ;Place d'Italie ;7 ;False ;0
V ;0245 ;Place de Clichy ;13 ;False ;0
V ;0246 ;Place de Clichy ;2 ;False ;0
V ;0247 ;Place des Fêtes ;11 ;False ;0
V ;0248 ;Place des Fêtes ;7bis ;False ;0
V ;0249 ;Plaisance ;13 ;False ;0
V ;0250 ;Poissonnière ;7 ;False ;0
V ;0251 ;Pont de Levallois, Bécon ;3 ;True ;0
V ;0252 ;Pont de Neuilly ;1 ;False ;0
V ;0253 ;Pont de Sèvres ;9 ;True ;0
V ;0254 ;Pont-Marie ;7 ;False ;0
V ;0255 ;Pont-Neuf ;7 ;False ;0
V ;0256 ;Porte Dauphine ;2 ;True ;0
V ;0257 ; Porte Dorée ;8 ;False ;0
V ;0258 ;Porte Maillot ;1 ;False ;0
V ;0259 ;Porte d'Auteuil ;10 ;False ;0
V ;0260 ;Porte d'Italie ;7 ;False ;1
V ;0261 ;Porte d'Ivry ;7 ;False ;1
V ;0262 ;Porte d'Orléans ;4 ;True ;0
V ;0263 ;Porte de Bagnolet ;3 ;False ;0
V ;0264 ;Porte de Champerret ;3 ;False ;0
V ;0265 ;Porte de Charenton ;8 ;False ;0
V ;0266 ;Porte de Choisy ;7 ;False ;1
V ;0267 ;Porte de Clichy ;13 ;False ;2
V ;0268 ;Porte de Clignancourt ;4 ;True ;0
V ;0269 ;Porte de Montreuil ;9 ;False ;0
V ;0270 ;Porte de Pantin ;5 ;False ;0
V ;0271 ;Porte de Saint-Cloud ;9 ;False ;0
V ;0272 ;Porte de Saint-Ouen ;13 ;False ;1
V ;0273 ;Porte de Vanves ;13 ;False ;0
V ;0274 ;Porte de Versailles ;12 ;False ;0
V ;0275 ;Porte de Vincennes ;1 ;False ;0
V ;0276 ;Porte de la Chapelle ;12 ;True ;0
V ;0277 ;Porte de la Villette ;7 ;False ;0
V ;0278 ;Porte des Lilas ;11 ;False ;0
V ;0279 ;Porte des Lilas ;3bis ;True ;0
V ;0280 ;Pré-Saint-Gervais ;7bis ;True ;0
V ;0281 ;Pyramides ;14 ;False ;0
V ;0282 ;Pyramides ;7 ;False ;0
V ;0283 ;Pyrénées ;11 ;False ;0
V ;0284 ;Père Lachaise ;2 ;False ;0
V ;0285 ;Père Lachaise ;3 ;False ;0
V ;0286 ;Péreire ;3 ;False ;0
